symbol,kind,execution,hooks,effects_and_ordering,model_passes,required_keys,produced_keys,model_mutation,specialisation,device_batch_gradient,composed_model,same_run,multi_stage
ActivationMaximisation,hook method,"Runs PGD around a prepared model","Forward reads through an internal Saliency stage","Reads targets and writes optimised inputs; internal Saliency must be installed before PGD","n_steps","model inputs; additional_init_keys when configured","attribution_key/input","No persistent mutation","Wrapper-relative path and internal pre-factory","Inputs and targets must share a device; gradients required; preserves TensorDict batch metadata",supported,unsupported,untested
GradCAM,hook method,"Runs the model and differentiates selected targets","Forward reads of target activations plus gradient capture","Read-only activations and gradients; target selection precedes attribution reduction","1","model inputs; additional_init_keys when configured","attribution_key/modules_to_attribute","No","Wrapper-relative path","Inputs, targets, and captured activations must share a device; gradients required; preserves TensorDict batch metadata",supported,unsupported,untested
GuidedBackpropagation,hook method,"Runs the model and differentiates selected targets","Forward reads plus backward writes on matched modules","Backward hooks clamp negative gradients; registration order matters with other backward writers","1","model inputs; additional_init_keys when configured","attribution_key/input","Temporary backward hooks only","Wrapper-relative path","Inputs and targets must share a device; gradients required; preserves TensorDict batch metadata",supported,unsupported,untested
IntegratedGradients,hook method,"Runs an expanded interpolation batch and differentiates selected targets","Forward reads and optional backward-pre writes inherited from gradient attribution","Reads baseline and targets; writes attribution; convergence delta adds endpoint evaluations","1 expanded call; 2 extra calls when convergence delta is enabled","pipeline inputs/input and inputs/baseline; additional_init_keys when configured","pipeline attributions/values; standalone attribution_key/input; convergence_delta when enabled","No","Wrapper-relative path","Inputs and baselines must align in shape and device; gradients required; expands the sample batch by n_steps",supported,unsupported,supported
LRP,hook method,"Runs the prepared rule-mapped model and differentiates selected targets","Forward and backward behavior supplied by mapped LRP rules","Rules rewrite propagation behavior; mapping must be installed before execution and restored afterwards","1","pipeline inputs/input; additional_init_keys when configured","pipeline attributions/values; standalone attribution_key/input","Temporary module replacement restored on exit","Wrapper-relative path plus rule mapper","Inputs and targets must share a device; gradients required; preserves TensorDict batch metadata",supported,unsupported,supported
Saliency,hook method,"Runs the model and differentiates selected targets","Forward reads and optional backward-pre writes","Read-only unless output_grad_callbacks write gradients; writer order must be declared","1","model inputs; additional_init_keys when configured","attribution_key/input","No","Wrapper-relative path","Inputs and targets must share a device; gradients required; preserves TensorDict batch metadata",supported,unsupported,untested
ActivationAddition,hook method,"Runs positive and negative examples to derive a vector","Forward reads on selected modules","Reads both source runs and writes steer artifacts after both complete","2","positive/input; negative/input","steer/module_output","No","Wrapper-relative path and shared cache reference","Positive and negative batches must be compatible; cache and model tensors must share a device; no gradients required",supported,unsupported,untested
ActivationCaching,hook method,"Runs the model while copying selected activations or gradients to context cache","Configured forward or backward hook directions","Read-only hook effects; cache keys are direction-qualified when multiple directions are used","1","pipeline inputs/input","pipeline activations/cache; standalone context.cache entries","No","HookingContextWithCache","Cached values retain source device and shape; backward directions require gradients",supported,unsupported,supported
ActivationPatching,hook method,"Runs a clean input and a patched input","Forward read followed by prepended forward write","Clean activation must be cached before the patched pass; patch write is prepended","2","model inputs; patched/input","model outputs; patched/model outputs","No","Wrapper-relative path and shared cache reference","Clean and patched inputs and activations must be shape/device compatible; no gradients required",supported,unsupported,untested
Probing,hook method,"Runs the model and dispatches selected activations to probes","Configured forward or backward read directions; optional root forward-pre read","Read-only model hooks; compatible ProbingStage instances may share one ordered HookGroup run","1 per fit or predict call","pipeline inputs/input; configured additional_keys such as labels and step_type","pipeline probes/results; standalone manager estimator and metric state","Estimator state changes during fit","Standard HookingContext and HookedModule","Activation, label, and estimator devices must be compatible; backward directions require gradients; probe preprocessing controls batch flattening",supported,supported,supported
SteeringVectors,hook method,"Runs the model with activation edits","Forward writes on selected modules","Writers run in registration order; later readers observe the value returned by earlier writers","1","model inputs; steer_fn closure inputs","model outputs","No persistent mutation","Standard HookingContext and HookedModule","steer_fn output must match activation shape/device/dtype; gradients optional",supported,untested,untested
CaPcaDimensionEstimator,TensorDict operator,"Transforms an existing representation TensorDict; no model execution","None","Reads one key and writes one key","0","in_key (default data)","out_key (default dimension)","No","Requires scikit-learn","Input shape (..., N, D); PCA copies neighborhoods to CPU and results return to the input device; gradients are not preserved",not-applicable,not-applicable,supported
LocalKnnDimensionEstimator,TensorDict operator,"Transforms an existing representation TensorDict; no model execution","None","Reads one key and writes one key","0","in_key (default data)","out_key (default dimension)","No","None","Input shape (..., N, D); runs on the input device; no gradient contract",not-applicable,not-applicable,supported
LocalPcaDimensionEstimator,TensorDict operator,"Transforms an existing representation TensorDict; no model execution","None","Reads one key and writes one key","0","in_key (default data)","out_key (default dimension)","No","Requires scikit-learn","Input shape (..., N, D); PCA copies neighborhoods to CPU and results return to the input device; gradients are not preserved",not-applicable,not-applicable,supported
TwoNnDimensionEstimator,TensorDict operator,"Transforms an existing representation TensorDict; no model execution","None","Reads one key and writes one or three keys","0","in_key (default data)","out_key; optional out_key_x and out_key_y","No","None","Input shape (..., N, D); runs on the input device; no gradient contract",not-applicable,not-applicable,supported
CkaEstimator,TensorDict operator,"Transforms two existing representation artifacts; no model execution","None","Reads two keys and writes one key","0","in_key_a and in_key_b","out_key (default cka)","No","Linear kernel only","Inputs require matching batch shape, sample count, and device; no gradient contract",not-applicable,not-applicable,supported
InformationImbalanceEstimator,TensorDict operator,"Transforms two existing representation artifacts; no model execution","None","Reads two keys and writes two directional keys","0","in_key_a and in_key_b","out_key_a_to_b and out_key_b_to_a","No","None","Inputs require matching batch shape, sample count, and device; no gradient contract",not-applicable,not-applicable,supported
